Time,Demand,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,cloud_cover,hour,dow,month,doy,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,doy_sin,doy_cos,is_holiday,demand_lag_24,demand_lag_48,demand_lag_72,demand_lag_168,demand_roll24_mean,demand_roll24_std,demand_roll168_mean,demand_roll168_std,temperature_2m_lag_24,relative_humidity_2m_lag_24,precipitation_lag_24,temp_squared,temp_hour_sin,temp_hour_cos,humidex_proxy,trend_ratio,lag24_over_lag168
2026-06-17 19:00:00,464.7336842,30.0,80,0.0,17.4,99,19,2,6,168,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,478.5110714,450.4868519,485.9840351,414.3427586,473.098976575,28.25279650378356,442.08731004791673,44.91287254839944,30.9,75.0,0.0,900.0,-28.977774788672054,7.764571353075609,38.0,1.0701482847895407,1.1548677066707156
2026-06-17 20:00:00,496.8938596,29.5,79,0.0,14.0,98,20,2,6,168,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,484.9581481,465.9688889,480.3221053,433.18795825,472.524918775,28.27800656069588,442.38725603363093,44.8947355450346,30.1,78.0,0.0,870.25,-25.54774941164094,14.750000000000004,37.4,1.0681250699027323,1.1195097621345296
2026-06-17 21:00:00,511.5403509,29.1,84,0.0,13.8,96,21,2,6,168,0,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,480.9592593,480.3409804,490.2485965,452.0331579,473.0222400875,28.609191490369792,442.766457827381,45.08520948329946,29.5,81.0,0.0,846.8100000000001,-20.57680733252854,20.576807332528528,37.5,1.0683335011612707,1.0639911052861284
2026-06-17 22:00:00,525.0537255,29.2,84,0.0,13.2,99,22,2,6,168,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,483.2318519,472.8560784,516.8515686,419.8332727,474.2964522375,29.64049525488233,443.1206673095238,45.39116810409559,29.0,84.0,0.0,852.64,-14.600000000000012,25.2879417905056,37.6,1.0703550685578824,1.1510089440798148
2026-06-17 23:00:00,517.2766,29.0,84,0.0,12.8,77,23,2,6,168,0,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.2546711202412288,-0.9670277247913204,0,475.8516981,465.0262,518.9917647,421.614,476.0390303041666,31.367691491219258,443.74697952857144,45.79207316487508,28.6,86.0,0.0,841.0,-7.505752307973125,28.011848962382974,37.4,1.0727713139814532,1.1286430196815098
2026-06-18 00:00:00,465.5,29.1,85,0.0,12.3,98,0,3,6,169,0,0.0,1.0,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,469.8263158,439.6742105,493.9645614,421.1887931,477.76506788333336,32.4770412029805,444.3163997666667,46.108885461807,28.7,87.0,0.0,846.8100000000001,0.0,29.1,37.6,1.075281191813384,1.1154767731164497
2026-06-18 01:00:00,443.62,28.6,86,0.0,11.9,73,1,3,6,169,0,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,462.0942105,436.4861404,479.0178947,409.0022414,477.58480472499997,32.53497579668771,444.5801569505952,46.102532664792896,28.4,87.0,0.0,817.96,7.402224689932093,27.625478631867356,37.2,1.0742377887505952,1.1298085040274304
2026-06-18 02:00:00,429.68,28.3,87,0.0,12.0,67,2,3,6,169,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,453.4822807,435.6994737,474.7947368,403.1937931,476.81504595416664,33.1305032948369,444.7862150375,46.019851748767756,28.2,87.0,0.0,800.89,14.149999999999999,24.508518927099615,37.0,1.072009495424597,1.1247253515818074
2026-06-18 03:00:00,431.19,28.1,88,0.0,12.2,29,3,3,6,169,0,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,446.1849123,427.0150877,462.8084211,393.8046552,475.82328425833333,34.19838805603419,444.9438710309524,45.92177418790148,28.0,88.0,0.0,789.6100000000001,19.869700551341985,19.86970055134199,36.900000000000006,1.0694006935208078,1.1330107615751719
2026-06-18 04:00:00,420.06,28.0,89,0.0,11.5,9,4,3,6,169,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.2380332770614858,-0.9712569994658313,0,435.1301754,415.2564912,457.2085965,382.5946552,475.1984962458334,34.89332344222551,445.1664028452381,45.762782690284254,27.7,91.0,0.0,784.0,24.24871130596428,14.000000000000004,36.9,1.067462623433952,1.1373137849313062
