Time,Demand
2026-04-22 12:00:00 AM,459.51
2026-04-22 01:00:00 AM,461.85
2026-04-22 02:00:00 AM,445.67
2026-04-22 03:00:00 AM,443.38
2026-04-22 04:00:00 AM,442.39
2026-04-22 05:00:00 AM,432.76
2026-04-22 06:00:00 AM,425.47
2026-04-22 07:00:00 AM,427.51
2026-04-22 08:00:00 AM,430.1
2026-04-22 09:00:00 AM,437.82
2026-04-22 10:00:00 AM,438.12
2026-04-22 11:00:00 AM,443.67
2026-04-22 12:00:00 PM,481.15
2026-04-22 01:00:00 PM,479.13
2026-04-22 02:00:00 PM,494.65
2026-04-22 03:00:00 PM,497.1831667
2026-04-22 04:00:00 PM,500.8411667
2026-04-22 05:00:00 PM,503.8206667
2026-04-22 06:00:00 PM,477.8803333
2026-04-22 07:00:00 PM,511.7758333
2026-04-22 08:00:00 PM,512.6411667
2026-04-22 09:00:00 PM,517.4005
2026-04-22 10:00:00 PM,494.59
2026-04-22 11:00:00 PM,494.7556897
2026-04-23 12:00:00 AM,453.06
2026-04-23 01:00:00 AM,432.27
2026-04-23 02:00:00 AM,436.09
2026-04-23 03:00:00 AM,426.79
2026-04-23 04:00:00 AM,424.52
2026-04-23 05:00:00 AM,416.82
2026-04-23 06:00:00 AM,408.15
2026-04-23 07:00:00 AM,413.61
2026-04-23 08:00:00 AM,422.91
2026-04-23 09:00:00 AM,434.11
2026-04-23 10:00:00 AM,448.31
2026-04-23 11:00:00 AM,471.83
2026-04-23 12:00:00 PM,486.31
2026-04-23 01:00:00 PM,503.55
2026-04-23 02:00:00 PM,493.88
2026-04-23 03:00:00 PM,521.21
2026-04-23 04:00:00 PM,501.7644828
2026-04-23 05:00:00 PM,465.1946552
2026-04-23 06:00:00 PM,439.4889655
2026-04-23 07:00:00 PM,486.8764286
2026-04-23 08:00:00 PM,492.9239286
2026-04-23 09:00:00 PM,484.2290909
2026-04-23 10:00:00 PM,492.7465455
2026-04-23 11:00:00 PM,487.93
2026-04-24 12:00:00 AM,472.9155172
2026-04-24 01:00:00 AM,454.1168966
2026-04-24 02:00:00 AM,445.6636207
2026-04-24 03:00:00 AM,438.2174138
2026-04-24 04:00:00 AM,435.7862069
2026-04-24 05:00:00 AM,424.8813793
2026-04-24 06:00:00 AM,416.2856897
2026-04-24 07:00:00 AM,410.4568966
2026-04-24 08:00:00 AM,431.46
2026-04-24 09:00:00 AM,433.04
2026-04-24 10:00:00 AM,439.58
2026-04-24 11:00:00 AM,426.07
2026-04-24 12:00:00 PM,431.03
2026-04-24 01:00:00 PM,525.5
2026-04-24 02:00:00 PM,420.51
2026-04-24 03:00:00 PM,438.45
2026-04-24 04:00:00 PM,424.06
2026-04-24 05:00:00 PM,414.0
2026-04-24 06:00:00 PM,387.89
2026-04-24 07:00:00 PM,447.25
2026-04-24 08:00:00 PM,466.86
2026-04-24 09:00:00 PM,463.3
2026-04-24 10:00:00 PM,478.8005263
2026-04-24 11:00:00 PM,473.84375
2026-04-25 12:00:00 AM,449.67
2026-04-25 01:00:00 AM,431.1
2026-04-25 02:00:00 AM,434.11
2026-04-25 03:00:00 AM,427.72
2026-04-25 04:00:00 AM,428.1
2026-04-25 05:00:00 AM,414.2
2026-04-25 06:00:00 AM,406.48
2026-04-25 07:00:00 AM,425.46
2026-04-25 08:00:00 AM,435.86
2026-04-25 09:00:00 AM,435.48
2026-04-25 10:00:00 AM,445.52
2026-04-25 11:00:00 AM,471.92
2026-04-25 12:00:00 PM,481.38
2026-04-25 01:00:00 PM,476.67
2026-04-25 02:00:00 PM,491.78
2026-04-25 03:00:00 PM,503.55
2026-04-25 04:00:00 PM,484.7155172
2026-04-25 05:00:00 PM,472.7425862
2026-04-25 06:00:00 PM,457.2703448
2026-04-25 07:00:00 PM,492.2024138
2026-04-25 08:00:00 PM,490.6212281
2026-04-25 09:00:00 PM,486.332931
2026-04-25 10:00:00 PM,488.9340351
2026-04-25 11:00:00 PM,491.5010526
2026-04-26 12:00:00 AM,437.45
2026-04-26 01:00:00 AM,452.51
2026-04-26 02:00:00 AM,439.43
2026-04-26 03:00:00 AM,422.07
2026-04-26 04:00:00 AM,406.73
2026-04-26 05:00:00 AM,394.59
2026-04-26 06:00:00 AM,386.72
2026-04-26 07:00:00 AM,383.01
2026-04-26 08:00:00 AM,405.41
2026-04-26 09:00:00 AM,388.51
2026-04-26 10:00:00 AM,401.33
2026-04-26 11:00:00 AM,425.12
2026-04-26 12:00:00 PM,453.74
2026-04-26 01:00:00 PM,460.55
2026-04-26 02:00:00 PM,428.19
2026-04-26 03:00:00 PM,392.75
2026-04-26 04:00:00 PM,367.45
2026-04-26 05:00:00 PM,347.84
2026-04-26 06:00:00 PM,340.44
2026-04-26 07:00:00 PM,384.98
2026-04-26 08:00:00 PM,386.36
2026-04-26 09:00:00 PM,375.59
2026-04-26 10:00:00 PM,362.9517241
2026-04-26 11:00:00 PM,360.1644828
2026-04-27 12:00:00 AM,353.36
2026-04-27 01:00:00 AM,344.87
2026-04-27 02:00:00 AM,336.62
2026-04-27 03:00:00 AM,322.49
2026-04-27 04:00:00 AM,291.54
2026-04-27 05:00:00 AM,273.6887931
2026-04-27 06:00:00 AM,271.43
2026-04-27 07:00:00 AM,292.38
2026-04-27 08:00:00 AM,445.7
2026-04-27 09:00:00 AM,328.51
2026-04-27 10:00:00 AM,346.95
2026-04-27 11:00:00 AM,370.8251724
2026-04-27 12:00:00 PM,395.0722807
2026-04-27 01:00:00 PM,404.6675439
2026-04-27 02:00:00 PM,380.1152632
2026-04-27 03:00:00 PM,371.4826316
2026-04-27 04:00:00 PM,358.3123636
